PolledNickname,MatchedUsername,Level,Country,IsPayer
𝖘𝖑𝖆𝖘𝖍𝖞,   ,3,,0
.,,,,0
[PwPro]Andy,,,,0
__PILOT__ON__BOARD__,,,,0
=Niszczycielswiatow123,,,,0
>>Tom<<,,,,0
0_mystiq_0,0_mystiq_0,30,IL,0
00rey,,,,0
05Franciani,05FranCiani,62,AR,1
0DIVE0,0DIVE0,47,PL,1
0lszeski,0lszeski,66,PL,1
0nlypriinzessiin,0nlypriinzessiin,56,US,1
17BabyYoda03,17BabyYoda03,85,UA,1
1aur,1aur,68,ID,1
1Erjkb1,1Erjkb1,28,FR,0
1MoDY1,1MoDY1,109,EG,0
1skk,1skk,65,UA,1
2_Ghost_1,2_Ghost_1,94,UA,1
2000GT,2000GT,84,JP,1
24cristian24,24cristian24,48,ES,1
2SlimTim,2SlimTim,98,CA,1
3pontinho,3pontinho,52,BR,1
57566,,,,0
5L1C3R,5L1C3R,40,,1
78tcn,78tcn,105,BB,1
97,,,,0
a,A,1,CN,0
A_WICKED_QUEEN,A_WICKED_QUEEN,104,US,1
A1mzz,A1MZZ,91,US,1
Abe389,Abe389,39,EG,0
abhimax68@gmail.com,,,,0
AbrahamHu,AbrahamHu,72,CN,1
Abyss666,Abyss666,50,GB,1
Acceleon,Acceleon,95,ID,1
AcE_zBeast,AcE_zBeast,83,US,1
AchrafB,AchrafB,75,TN,0
AdaLynnKaos,,,,0
Adasoro,,,,0
AdrianE22,AdrianE22,57,SE,1
Ads_80,,,,0
Aethyr01,Aethyr01,101,US,1
AffableScallopldol,,,,0
affinettyy,,,,0
Aglito,Aglito,75,GB,1
Agripa,Agripa,85,AR,1
AGUA-DE-RIO,AGUA-DE-RIO,50,AR,1
Agusstincitoo,Agusstincitoo,102,AR,1
Ahkmed,Ahkmed,83,US,1
Ahnandy,Ahnandy,110,BR,1
Aic Fih,,,,0
Aiden,aiden,2,,0
Aiko_n,Aiko_n,66,PL,1
AIPINN,AIPINN,84,BR,1
AItaricaFP,AItaricaFP,105,UA,1
AJKLONE,AJKLONE,58,BR,1
ajyanesp,ajyanesp,82,VE,1
Akira_Aka_Wolf,Akira_Aka_Wolf,2,RU,0
AkumatheOG,,,,0
Alands,Alands,3,,0
Aleekunh,Aleekunh,85,AR,1
ALEGRETTE,ALEGRETTE,107,BR,1
AlekBratva,AlekBratva,54,DE,1
alepabdo00,,,,0
Alepez,alepez,108,AR,1
Alex0023,Alex0023,52,NO,1
Alex3632,Alex3632,73,ES,1
Alexandrox,Alexandrox,65,IT,1
AlexGPTB,AlexGPTB,27,AU,1
AlexSoft,AlexSoft,105,UA,1
alip_mancing3,Alip_Mancing3,92,ID,1
Alpha_Wolf_09,Alpha_wolf_09,105,,1
alphawolf72,ALPHAWOLF72,82,,1
Altior,Altior,85,UA,1
Alvarox100,Alvarox100,26,MX,0
Amarula,Amarula,105,ES,1
Amnestesy,Amnestesy,98,PT,1
AmoebaLn2,AmoebaLn2,88,US,1
AnakKampung,AnakKampung,85,ID,1
anchall,,,,0
andrea_uru,andrea_uru,110,UY,1
AndrerSkinwalker,AndrerSkinwalker,78,UA,1
Andres2009,andres2009,61,CL,0
AndreswaiTV,AndreswaiTV,85,CO,1
Andyyyz,,,,0
Angler_Soyokaze_JPN,Angler_Soyokaze_JPN,110,JP,1
AnglerBird,AnglerBird,86,ID,1
AnglingPanda,AnglingPanda,56,ZA,1
Ankun6205,Ankun6205,38,MA,0
AnneStank,AnneStank,67,US,1
Annreii,Annreii,105,JP,1
Antares_BTB,Antares_BTB,110,PL,1
Antoinebre444,Antoinebre444,61,BE,1
AnToNioPtR,AnToNioPtR,51,RO,1
Apci,Apci,110,HU,1
Apical420,Apical420,59,PL,0
Apoleng,Apoleng,110,MY,1
